Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2020-05-15,0.005699999999999999,0.013300000000000001,-0.0115,0.0002,-0.0076,0.0,0.0066
2020-05-19,-0.0101,-0.0078000000000000005,-0.0151,0.0053,-0.0070999999999999995,0.0,0.0113
2020-05-20,0.018000000000000002,0.012199999999999999,0.0132,-0.0028000000000000004,-0.0033,0.0,-0.0151
2020-05-21,-0.0070999999999999995,0.0074,0.0042,0.0013,0.0003,0.0,-0.012199999999999999
2020-05-22,0.0027,0.0025,-0.0085,-0.005600000000000001,-0.0038,0.0,0.0085
2020-05-29,0.006,-0.008100000000000001,-0.019799999999999998,-0.0033,-0.004699999999999999,0.0,0.023
2020-06-01,0.0051,0.0026,0.0043,0.0001,-0.0023,0.0,-0.020099999999999996
2020-06-02,0.008100000000000001,0.0006,0.0055000000000000005,0.0011,0.0029,0.0,-0.0131
2020-06-15,0.0108,0.0143,-0.0038,-0.0077,-0.0029,0.0,0.0069
2020-06-16,0.018799999999999997,0.0060999999999999995,0.0049,0.0063,0.002,0.0,-0.009000000000000001
2020-06-17,-0.0040999999999999995,-0.013500000000000002,-0.0197,-0.005600000000000001,-0.0024,0.0,0.0291
2020-06-18,0.0018,0.0001,-0.0054,-0.004,-0.0023,0.0,-0.0011
2020-06-19,-0.0045000000000000005,-0.0015,-0.0067,-0.0070999999999999995,-0.003,0.0,0.0115
2020-06-22,0.0070999999999999995,0.004699999999999999,-0.013600000000000001,-0.0038,-0.0036,0.0,0.0147
2020-06-23,0.0040999999999999995,0.0021,-0.006,0.0059,-0.0012,0.0,0.0031
2020-06-25,0.0113,0.0034000000000000002,0.0051,-0.008199999999999999,0.0017000000000000001,0.0,-0.0051
2020-06-26,-0.024300000000000002,-0.0019,-0.0139,0.0002,0.0072,0.0,0.0128
2020-06-29,0.015,0.0148,0.018600000000000002,0.0149,0.0039000000000000003,0.0,-0.0258
2020-06-30,0.0158,-0.0001,-0.0001,-0.0039000000000000003,-0.0027,0.0,0.011899999999999999
2020-07-02,0.0051,0.0001,-0.0014000000000000002,0.0042,0.0013,0.0,0.0018
2020-07-06,0.0166,-0.0067,0.0034000000000000002,0.0027,0.0004,0.0,-0.0006
2020-07-07,-0.0101,-0.0098,-0.015,-0.0111,-0.0008,0.0,0.026000000000000002
2020-07-08,0.0089,0.0008,-0.0046,-0.0042,-0.003,0.0,0.0073
2020-07-13,-0.011899999999999999,-0.0027,0.020499999999999997,0.0106,0.0113,0.0,-0.0134
2020-07-14,0.013600000000000001,0.0039000000000000003,-0.0029,-0.0002,0.004699999999999999,0.0,0.0074
2020-07-16,-0.0038,-0.0015,0.0083,0.0025,0.0034000000000000002,0.0,0.0038
2020-07-17,0.003,-0.0016,-0.0143,-0.0109,0.0,0.0,0.018500000000000003
2020-07-22,0.005,-0.0064,-0.0037,0.0049,0.0002,0.0,0.0058
2020-07-23,-0.012,0.012199999999999999,0.019799999999999998,-0.0021,0.0017000000000000001,0.0,-0.0183
2020-07-24,-0.0074,-0.008,0.0046,0.0027,0.0002,0.0,-0.0004
2020-07-27,0.0088,0.003,-0.020099999999999996,-0.0019,0.0009,0.0,0.022400000000000003
2020-07-28,-0.008100000000000001,-0.0046,0.01,0.0029,0.0012,0.0,-0.008100000000000001
2020-07-29,0.013600000000000001,0.0064,0.0091,0.0024,0.0015,0.0,-0.0084
2020-07-30,-0.0029,-0.0001,-0.018500000000000003,-0.005699999999999999,-0.0016,0.0,0.024700000000000003
2020-08-03,0.0097,0.0109,-0.008199999999999999,-0.0027,0.0034999999999999996,0.0,0.0175
2020-08-04,0.0037,0.0043,0.0004,0.0012,0.001,0.0,-0.009300000000000001
2020-08-05,0.0078000000000000005,0.0124,0.008199999999999999,0.0019,-0.0013,0.0,-0.0129
2020-08-06,0.0053,-0.0059,-0.0084,0.005699999999999999,0.0006,0.0,0.004
2020-08-07,0.0002,0.0158,0.024,0.0052,0.0019,0.0,-0.0208
2020-08-10,0.0023,0.0132,0.0172,0.0084,0.0124,0.0,-0.0276
2020-08-11,-0.0083,0.002,0.016200000000000003,0.009000000000000001,0.0003,0.0,-0.0219
2020-08-12,0.013999999999999999,-0.0083,-0.013300000000000001,0.009300000000000001,-0.0013,0.0,0.018600000000000002
2020-08-13,-0.0002,-0.0015,-0.0132,-0.0063,-0.0054,0.0,0.0154
2020-08-14,-0.0004,0.0005,0.0109,0.0042,0.0018,0.0,-0.012199999999999999
2020-08-17,0.0045000000000000005,0.0004,-0.019299999999999998,-0.008,-0.005,0.0,0.0235
2020-08-18,0.0023,-0.013300000000000001,-0.014199999999999999,0.0002,-0.0055000000000000005,0.0,0.0172
2020-08-19,-0.0038,0.0049,0.0009,-0.0004,-0.0014000000000000002,0.0,0.0004
2020-08-20,0.0031,-0.0097,-0.0155,0.001,-0.005,0.0,0.0139
2020-08-21,0.0026,-0.0124,-0.0044,0.006,0.0068000000000000005,0.0,0.008199999999999999
2020-08-24,0.0092,0.002,0.0258,0.011200000000000002,0.005699999999999999,0.0,-0.0332
2020-08-25,0.0034999999999999996,0.0,-0.0064,-0.0046,-0.0069,0.0,0.0103
2020-08-27,0.0018,-0.0001,0.0095,0.005699999999999999,-0.0049,0.0,-0.021400000000000002
2020-08-28,0.006999999999999999,0.0036,-0.0022,0.0014000000000000002,-0.0008,0.0,-0.0092
2020-08-31,-0.0004,-0.009300000000000001,-0.0174,-0.006999999999999999,-0.0016,0.0,0.0179
2020-09-01,0.0092,0.0021,-0.0031,0.0060999999999999995,0.0009,0.0,0.0131
2020-09-02,0.0127,-0.0026,-0.0045000000000000005,0.0077,-0.0038,0.0,-0.0031
2020-09-04,-0.0087,0.0034999999999999996,0.0207,0.0078000000000000005,0.0088,0.0,-0.023
2020-09-08,-0.029300000000000003,0.009000000000000001,-0.003,-0.0072,-0.0058,0.0,-0.0008
2020-09-10,-0.016399999999999998,0.0038,-0.0006,-0.0039000000000000003,-0.0034999999999999996,0.0,0.0038
2020-09-11,-0.0005,-0.0062,0.009000000000000001,0.0023,0.004699999999999999,0.0,-0.0043
2020-09-14,0.0158,0.0101,-0.008,-0.008199999999999999,0.0002,0.0,-0.0012
2020-09-15,0.005699999999999999,-0.0063,-0.0147,0.0013,-0.004,0.0,0.0116
2020-09-16,-0.004,0.0121,0.0131,-0.009300000000000001,0.0024,0.0,-0.0252
2020-09-17,-0.0085,0.0048,0.0021,0.0006,0.0060999999999999995,0.0,-0.0049
2020-09-18,-0.0089,0.0078000000000000005,-0.002,-0.0111,-0.0046,0.0,0.0096
2020-09-22,0.0101,-0.0049,-0.016,0.0059,-0.0051,0.0,0.019
2020-09-23,-0.024700000000000003,-0.0066,0.0016,0.0019,-0.0018,0.0,0.003
2020-09-24,0.0026,-0.0019,0.0038,0.0051,0.0014000000000000002,0.0,-0.0008
2020-09-25,0.0171,-0.0017000000000000001,-0.013500000000000002,-0.005,-0.006999999999999999,0.0,0.008
2020-09-28,0.0165,0.0088,0.0106,0.0040999999999999995,0.0021,0.0,-0.0087
2020-09-29,-0.0042,0.0040999999999999995,-0.0132,-0.0078000000000000005,-0.0059,0.0,0.0166
2020-09-30,0.0079,-0.0068000000000000005,0.0015,0.0034000000000000002,0.0011,0.0,0.0017000000000000001
2020-10-01,0.0079,0.008,-0.0055000000000000005,-0.0002,-0.005600000000000001,0.0,0.0118
2020-10-02,-0.0097,0.0169,0.024300000000000002,0.0058,0.0034000000000000002,0.0,-0.0269
2020-10-05,0.0194,0.009000000000000001,-0.0009,-0.004699999999999999,0.0008,0.0,0.0059
2020-10-06,-0.0128,0.0083,0.0025,-0.0052,-0.0006,0.0,-0.0008
2020-10-07,0.0184,0.0053,0.0014000000000000002,-0.0031,0.001,0.0,0.0011
2020-10-08,0.008,0.0025,0.0106,0.0027,0.0031,0.0,-0.019299999999999998
2020-10-09,0.009300000000000001,-0.0032,-0.0143,-0.0015,-0.0029,0.0,0.02
2020-10-12,0.0154,-0.0101,-0.001,0.0079,0.0036,0.0,0.0037
2020-10-13,-0.0042,-0.0019,-0.0174,-0.0086,-0.0095,0.0,0.0235
2020-10-14,-0.006500000000000001,0.0001,0.0003,0.0034000000000000002,0.0068000000000000005,0.0,-0.0037
2020-10-15,-0.0008,0.011699999999999999,0.011399999999999999,0.0015,0.0015,0.0,-0.009899999999999999
2020-10-16,-0.0006,-0.0013,0.0005,-0.0005,-0.0011,0.0,0.0006
2020-10-19,-0.015300000000000001,0.0034999999999999996,0.0031,-0.0033,-0.002,0.0,-0.0034000000000000002
2020-10-20,0.0034999999999999996,-0.0008,0.0125,0.0054,0.0019,0.0,-0.011699999999999999
2020-10-21,-0.0036,-0.0048,0.0040999999999999995,0.0051,0.0,0.0,-0.0054
2020-10-22,0.0066,0.009399999999999999,0.0101,-0.0059,-0.0007000000000000001,0.0,-0.0278
2020-10-23,0.0039000000000000003,0.0038,0.0003,-0.0015,-0.0034000000000000002,0.0,0.0011
2020-10-26,-0.018500000000000003,-0.0048,-0.0038,-0.0015,-0.0002,0.0,0.0106
2020-10-27,-0.0023,-0.0062,-0.0233,-0.0039000000000000003,-0.0072,0.0,0.0275
2020-10-29,0.0113,0.0014000000000000002,0.0025,0.0028000000000000004,0.0058,0.0,-0.0115
2020-10-30,-0.014499999999999999,-0.0024,0.018500000000000003,0.0027,-0.0006,0.0,-0.023700000000000002
2020-11-02,0.011699999999999999,0.0087,0.0102,0.0040999999999999995,0.0040999999999999995,0.0,-0.0141
2020-11-03,0.019299999999999998,0.0101,-0.002,-0.002,0.0002,0.0,0.0019
2020-11-05,0.0212,0.0104,0.0053,0.0036,0.0051,0.0,-0.0019
2020-11-06,0.0001,-0.0109,-0.0091,-0.0024,-0.0009,0.0,0.0106
2020-11-12,-0.009399999999999999,-0.005600000000000001,-0.0118,-0.0067,-0.0024,0.0,0.0182
2020-11-13,0.0131,0.0092,0.011399999999999999,0.005699999999999999,0.0042,0.0,-0.0215
2020-11-16,0.012199999999999999,0.0127,0.019799999999999998,0.0069,0.0086,0.0,-0.033
2020-11-17,-0.002,0.0060999999999999995,-0.0001,-0.0040999999999999995,-0.0043,0.0,-0.0027
2020-11-18,-0.009399999999999999,-0.0005,0.0003,0.0007000000000000001,-0.0038,0.0,0.0024
2020-11-19,0.0058,0.0028000000000000004,-0.0078000000000000005,-0.0066,-0.0022,0.0,0.0037
2020-11-20,-0.0051,0.0059,-0.0059,-0.0074,-0.0011,0.0,0.0073
2020-11-23,0.008199999999999999,0.0141,0.015600000000000001,0.0033,0.0003,0.0,-0.027200000000000002
2020-11-25,0.0002,-0.0027,-0.013300000000000001,-0.0039000000000000003,-0.0054,0.0,0.015300000000000001
2020-11-27,0.0042,0.0014000000000000002,-0.016200000000000003,-0.0076,-0.0032,0.0,0.0178
2020-12-01,0.009899999999999999,-0.0006,0.0052,0.0104,0.0053,0.0,-0.0078000000000000005
2020-12-02,0.0011,0.0021,0.010700000000000001,0.0037,0.005600000000000001,0.0,-0.0223
2020-12-03,0.0017000000000000001,0.0055000000000000005,-0.0011,-0.0027,0.0021,0.0,-0.0055000000000000005
2020-12-04,0.0101,0.0161,0.008199999999999999,-0.0034000000000000002,0.006,0.0,-0.018500000000000003
2020-12-07,0.0002,-0.0006,-0.0102,-0.005699999999999999,-0.005,0.0,0.0152
2020-12-08,0.004699999999999999,0.0088,-0.006999999999999999,-0.0070999999999999995,-0.0005,0.0,0.0015
2020-12-09,-0.0103,0.0033,0.0128,0.0085,0.0034999999999999996,0.0,-0.0138
2020-12-10,0.0024,0.009300000000000001,-0.0046,-0.0151,-0.0024,0.0,-0.0017000000000000001
2020-12-11,-0.0018,-0.005699999999999999,-0.0074,-0.0058,-0.005600000000000001,0.0,0.0062
2020-12-14,-0.0026,0.0021,-0.0151,-0.004,-0.0083,0.0,0.0101
2020-12-15,0.0129,0.011399999999999999,0.0038,0.0045000000000000005,0.0054,0.0,-0.0034000000000000002
2020-12-16,0.0016,-0.005600000000000001,-0.004,0.0003,-0.0017000000000000001,0.0,0.0058
2020-12-17,0.0078000000000000005,0.005,-0.0070999999999999995,-0.0058,-0.0019,0.0,0.0121
2020-12-18,-0.0014000000000000002,-0.0019,-0.011699999999999999,-0.0038,-0.0073,0.0,0.011000000000000001
2020-12-21,-0.0024,0.0024,-0.0005,-0.01,0.003,0.0,0.011699999999999999
2020-12-22,0.0006,0.0085,-0.016200000000000003,-0.0084,-0.0011,0.0,0.0187
2020-12-23,0.0011,0.0086,0.0203,0.0027,0.0040999999999999995,0.0,-0.0222
2020-12-24,0.0023,-0.0044,-0.0019,0.0024,-0.0008,0.0,0.0021
2020-12-28,0.0049,-0.0068000000000000005,0.0036,0.0138,0.0048,0.0,-0.0048
2020-12-29,-0.0039000000000000003,-0.014199999999999999,0.0024,0.0078000000000000005,-0.0027,0.0,-0.0040999999999999995
2020-12-30,0.0027,0.010700000000000001,0.0006,-0.0066,-0.0004,0.0,-0.0024
2020-12-31,0.004,-0.0068000000000000005,0.0045000000000000005,0.005600000000000001,-0.0022,0.0,-0.0059
2021-01-04,-0.0141,0.0015,0.0059,-0.0064,0.0009,0.0,-0.0003
2021-01-05,0.0086,0.0132,0.005,0.0036,0.005600000000000001,0.0,-0.0072
2021-01-07,0.0176,0.0002,-0.008199999999999999,-0.0148,-0.0023,0.0,0.015600000000000001
2021-01-08,0.0051,-0.0102,-0.0139,-0.0042,-0.0036,0.0,0.0085
2021-01-11,-0.0052,0.0054,0.0126,-0.0016,0.0040999999999999995,0.0,-0.009300000000000001
2021-01-12,0.0037,0.0148,0.0124,-0.0044,0.004,0.0,-0.006999999999999999
2021-01-13,0.0007000000000000001,-0.0104,-0.0045000000000000005,-0.0019,-0.0004,0.0,0.0043
2021-01-15,-0.0086,-0.0074,-0.0073,0.0029,-0.0045000000000000005,0.0,0.0059
2021-01-19,0.0092,0.0074,-0.0079,-0.0069,0.001,0.0,0.0062
2021-01-20,0.0127,-0.0075,-0.0111,0.0064,-0.004,0.0,0.0129
2021-01-21,-0.0004,-0.0076,-0.0096,0.0083,0.0036,0.0,0.012199999999999999
2021-01-22,-0.0007000000000000001,0.016399999999999998,-0.0011,-0.0068000000000000005,0.006,0.0,0.0084
2021-01-25,0.0029,-0.0027,-0.0043,0.0021,0.0095,0.0,0.0034000000000000002
2021-01-26,-0.0033,-0.0003,0.0004,0.0104,0.0113,0.0,0.0025
2021-01-29,-0.0184,0.0040999999999999995,0.0059,-0.0076,0.004,0.0,0.0021
2021-02-01,0.0172,0.0074,-0.0148,-0.0023,-0.0124,0.0,0.0129
2021-02-03,0.0014000000000000002,0.0068000000000000005,0.0072,-0.0009,0.0018,0.0,-0.009300000000000001
2021-02-04,0.012199999999999999,0.006,0.0038,-0.0009,-0.0024,0.0,-0.0043
2021-02-05,0.005699999999999999,0.0095,-0.0048,-0.0070999999999999995,0.0042,0.0,0.0043
2021-02-09,0.0005,0.0064,-0.0006,-0.0067,-0.0040999999999999995,0.0,0.0040999999999999995
2021-02-10,-0.0008,-0.0053,0.0078000000000000005,0.0031,0.0008,0.0,-0.0084
2021-02-11,0.002,-0.002,-0.0068000000000000005,-0.0046,-0.0031,0.0,0.0069
2021-02-12,0.0049,-0.001,0.0046,-0.0039000000000000003,-0.0007000000000000001,0.0,0.0066
2021-02-16,-0.0014000000000000002,-0.0026,0.0192,0.0018,0.0005,0.0,-0.0064
2021-02-17,-0.002,-0.0068000000000000005,0.0058,0.0026,-0.0015,0.0,-0.0115
2021-02-18,-0.0063,-0.0148,-0.0022,0.0088,-0.0042,0.0,-0.0087
2021-02-19,0.0016,0.0202,0.0073,-0.0043,0.0054,0.0,0.0025
2021-02-23,-0.0011,-0.0102,0.0089,0.0113,-0.002,0.0,-0.0179
2021-02-24,0.0115,0.0148,0.014499999999999999,-0.0028000000000000004,0.0032,0.0,-0.0009
2021-02-25,-0.027200000000000002,-0.0091,0.0086,0.0097,0.0044,0.0,-0.0187
2021-02-26,-0.0028000000000000004,0.0034999999999999996,-0.0161,-0.0004,-0.0039000000000000003,0.0,0.0195
2021-03-01,0.0262,0.0111,0.0023,-0.004,0.002,0.0,0.015
2021-03-02,-0.0105,-0.0078000000000000005,0.0125,0.0062,0.0024,0.0,-0.013999999999999999
2021-03-04,-0.0167,-0.011000000000000001,0.0171,0.0127,0.0048,0.0,-0.0285
2021-03-05,0.0187,0.0039000000000000003,0.0063,0.0096,0.0051,0.0,-0.011000000000000001
2021-03-10,0.0067,0.012,0.0182,-0.0007000000000000001,0.0014000000000000002,0.0,-0.005
2021-03-12,0.0011,0.0052,0.0127,0.0063,0.0059,0.0,-0.010700000000000001
2021-03-15,0.0069,-0.0034999999999999996,-0.0127,0.0025,0.001,0.0,0.0097
2021-03-16,-0.0040999999999999995,-0.013500000000000002,-0.0085,0.0029,-0.0002,0.0,-0.013600000000000001
2021-03-17,0.0034000000000000002,0.0064,0.0033,-0.0004,0.0011,0.0,0.0149
2021-03-18,-0.018600000000000002,-0.0121,0.0216,0.009300000000000001,0.004699999999999999,0.0,-0.0346
2021-03-19,0.0023,0.009399999999999999,-0.01,-0.0079,-0.0054,0.0,0.011699999999999999
2021-03-24,-0.0097,-0.0158,0.0146,0.0138,0.0013,0.0,-0.0282
2021-03-25,0.0067,0.020099999999999996,0.0139,0.0045000000000000005,0.011200000000000002,0.0,0.0072
2021-03-26,0.015600000000000001,0.002,0.0069,0.0078000000000000005,0.0059,0.0,-0.0043
2021-03-30,-0.0004,0.0184,0.01,-0.0026,-0.0022,0.0,0.0232
2021-03-31,0.0063,0.0059,-0.023399999999999997,-0.011699999999999999,-0.0029,0.0,0.018000000000000002
2021-04-01,0.0127,0.0021,-0.0002,-0.0069,-0.0052,0.0,0.0069
2021-04-05,0.0128,-0.0070999999999999995,-0.0070999999999999995,0.01,0.001,0.0,-0.0048
2021-04-06,0.0,-0.0031,0.0009,-0.0012,-0.0028000000000000004,0.0,0.0066
2021-04-07,-0.0011,-0.015300000000000001,0.0031,0.0068000000000000005,-0.0012,0.0,-0.008100000000000001
2021-04-08,0.0062,0.0027,-0.0118,-0.0052,-0.0038,0.0,0.0115
2021-04-09,0.006500000000000001,-0.0060999999999999995,0.0015,0.0079,0.0009,0.0,-0.0017000000000000001
2021-04-12,-0.0004,-0.0045000000000000005,0.005699999999999999,0.0073,-0.0037,0.0,-0.0022
2021-04-13,0.0040999999999999995,-0.0078000000000000005,-0.0161,-0.010700000000000001,-0.0037,0.0,0.0089
2021-04-14,-0.0034999999999999996,0.0118,0.0141,0.0001,0.0067,0.0,-0.0015
2021-04-15,0.0106,-0.008,-0.011899999999999999,0.001,-0.0054,0.0,-0.0075
2021-04-16,0.0027,-0.0019,0.0066,0.0083,0.0018,0.0,-0.0029
2021-04-19,-0.0072,-0.0066,0.0079,0.0072,0.0043,0.0,-0.0121
2021-04-20,-0.009300000000000001,-0.0138,-0.015700000000000002,0.0038,-0.0046,0.0,-0.020499999999999997
2021-04-21,0.011000000000000001,0.015300000000000001,0.0011,-0.004699999999999999,0.001,0.0,0.019799999999999998
2021-04-22,-0.0078000000000000005,0.0063,-0.0077,-0.002,-0.002,0.0,-0.0012
2021-04-23,0.0126,0.0076,0.0068000000000000005,-0.0034999999999999996,0.0004,0.0,0.0181
2021-04-26,0.0040999999999999995,0.0079,-0.005,-0.012,-0.0007000000000000001,0.0,0.0146
2021-04-27,-0.0003,0.0008,0.0085,0.0054,0.0005,0.0,0.0006
2021-04-28,-0.0007000000000000001,0.003,0.0021,-0.003,-0.0034000000000000002,0.0,-0.0016
2021-04-29,0.004,-0.0077,0.0108,0.0134,-0.0022,0.0,-0.009000000000000001
2021-04-30,-0.0083,-0.0052,-0.0034000000000000002,0.0013,-0.0040999999999999995,0.0,-0.0049
2021-05-03,0.0018,0.0074,0.0171,0.0105,0.010700000000000001,0.0,-0.0032
2021-05-04,-0.0089,-0.0024,0.02,0.0109,0.005699999999999999,0.0,-0.0018
2021-05-05,-0.0005,-0.0016,0.0134,0.0064,0.0060999999999999995,0.0,0.0028000000000000004
2021-05-06,0.0049,-0.0049,0.0118,0.0123,0.0058,0.0,-0.0106
2021-05-07,0.0084,0.0045000000000000005,-0.0008,-0.0022,0.0014000000000000002,0.0,0.012199999999999999
2021-05-10,-0.013500000000000002,-0.0128,0.0168,0.0116,0.0078000000000000005,0.0,-0.0225
2021-05-11,-0.0063,0.006999999999999999,-0.0086,-0.0083,-0.0005,0.0,-0.0001
2021-05-12,-0.023399999999999997,-0.0115,0.006999999999999999,-0.0029,0.0014000000000000002,0.0,-0.0255
2021-05-13,0.0104,0.0048,0.0113,0.0138,0.0034000000000000002,0.0,-0.0017000000000000001
2021-05-14,0.0179,0.0097,-0.0017000000000000001,-0.0024,-0.0004,0.0,0.0179
2021-05-17,-0.0024,0.0072,0.0084,0.0002,0.0059,0.0,0.0028000000000000004
2021-05-18,-0.006999999999999999,0.0005,-0.009399999999999999,-0.0102,-0.0043,0.0,-0.0026
2021-05-19,-0.0034000000000000002,-0.0053,-0.0046,-0.0018,-0.0032,0.0,-0.006
2021-05-20,0.011399999999999999,-0.0049,-0.014199999999999999,-0.0085,-0.0048,0.0,0.0023
2021-05-21,-0.0004,0.0046,0.009899999999999999,-0.0011,-0.0007000000000000001,0.0,0.0023
2021-05-24,0.009899999999999999,-0.0048,-0.006999999999999999,0.0026,-0.003,0.0,0.011200000000000002
2021-05-25,-0.003,-0.0086,-0.0124,0.002,-0.0015,0.0,0.0024
2021-05-26,0.0046,0.0178,0.005699999999999999,-0.0054,0.0014000000000000002,0.0,0.0172
2021-05-27,0.0027,0.0108,0.0096,-0.0026,0.0027,0.0,0.015700000000000002
2021-05-28,0.0004,-0.0037,-0.0032,-0.002,-0.004,0.0,-0.0034000000000000002
2021-06-01,0.0003,0.0141,0.0144,0.003,0.004,0.0,0.009000000000000001
2021-06-02,0.0012,-0.0021,0.0032,-0.0007000000000000001,0.0069,0.0,-0.0075
2021-06-03,-0.0053,-0.0025,0.0074,0.0040999999999999995,0.0033,0.0,-0.010700000000000001
2021-06-04,0.009000000000000001,-0.0059,-0.0091,-0.0015,-0.0022,0.0,0.0037
2021-06-07,0.0014000000000000002,0.0127,-0.0095,-0.01,-0.0021,0.0,0.0059
2021-06-08,0.0018,0.0108,-0.003,0.0007000000000000001,-0.0009,0.0,0.0043
2021-06-09,-0.0029,-0.0045000000000000005,-0.0084,0.0016,0.0019,0.0,-0.011399999999999999
2021-06-10,0.0040999999999999995,-0.013300000000000001,-0.020499999999999997,-0.005600000000000001,-0.0106,0.0,-0.0159
2021-06-11,0.0037,0.0072,0.0017000000000000001,0.0004,0.0,0.0,0.0064
2021-06-14,0.0015,-0.0075,-0.016200000000000003,-0.0059,-0.0049,0.0,-0.0089
2021-06-15,-0.003,0.0023,0.0128,0.0067,0.0013,0.0,0.0002
2021-06-16,-0.0046,0.0043,0.002,-0.0034000000000000002,-0.0024,0.0,0.0034999999999999996
2021-06-18,-0.0123,-0.008,-0.0144,-0.0043,-0.0070999999999999995,0.0,-0.0045000000000000005
2021-06-21,0.013600000000000001,0.0084,0.0105,0.0040999999999999995,0.0031,0.0,0.0138
2021-06-22,0.0058,-0.0009,-0.0043,0.002,0.002,0.0,0.0044
2021-06-23,0.0,0.0051,-0.0029,-0.0048,-0.0024,0.0,0.0116
2021-06-24,0.0069,0.0074,0.0024,-0.0039000000000000003,0.0026,0.0,0.0075
2021-06-25,0.0031,-0.005,0.0044,-0.0014000000000000002,0.0006,0.0,-0.0054
2021-06-28,0.0021,-0.0085,-0.0159,-0.005,-0.0014000000000000002,0.0,0.0002
2021-06-29,0.0001,-0.0038,-0.003,0.0031,0.0038,0.0,0.0012
